airline_sentiment,clean_text,airline
negative,landed lax hour late flight bag check business travel friendly nomorevirgin,Virgin America
negative,website btw new website isnt great user experience time another redesign,Virgin America
negative,cant check add bag website isnt working ive tried desktop mobile,Virgin America
negative,let scanned passengers leave plane told someone remove bag st class bin uncomfortable,Virgin America
negative,phone number cant find call flight reservation,Virgin America
negative,anyone anything today website useless one answering phone,Virgin America
negative,must traveler miss flight late flight check bag missed morning appointments lost business sfolax,Virgin America
negative,hows direct flight fllgtsfo unexpected layover vegas fuel yet peeps next bought vegas flight sneaky,Virgin America
negative,late flight bag check lost business missed flight apt three people flight exp,Virgin America
positive,amazing customer service raeann sf shes best customerservice virginamerica flying,Virgin America
negative,called service line hung awesome sarcasm,Virgin America
negative,site tripping im trying check im getting plain text version reluctant enter card info,Virgin America
positive,getaway deals may oneway lots cool cities cheapflights farecompare,Virgin America
positive,getaway deals may oneway lots cool cities cheapflights farecompare,Virgin America
positive,great week,Virgin America
positive,come back phl already need take us horrible cold pleasecomeback,Virgin America
negative,concerned fly plane needs delayed due tech stop,Virgin America
positive,best airline flown oneasy change reservationhelpful representatives amp comfortable flying experience,Virgin America
positive,another rep kicked butt naelah represents team beautifully thank,Virgin America
positive,beautiful frontend design right cool still book ticket bc backend secure,Virgin America
positive,love team running gate e las tonight waited delayed flight kept things entertaining,Virgin America
negative,use another browser amp brand reputation built tech response doesnt crossbrowser compatible website,Virgin America
negative,flight flight booking problems site totally folks problem,Virgin America
negative,like customer service min delay connecting passengers seems long va,Virgin America
positive,thanks outstanding nycjfk crew moved mountains get home san francisco tonight,Virgin America
positive,absolute best team customer service ever every time fly im delighted thank,Virgin America
negative,need change flight thats scheduled hours min wait time phone im calling intern help,Virgin America
positive,completely awesome experience last month boslas nonstop thanks awesome flight depart time vabeatsjblue,Virgin America
negative,failing customers check process link tsa precheck,Virgin America
negative,us terrible airline gave us hotel hotline number said sorry,Virgin America
negative,assistance yesterday u cancelled flightled flight give us hotel hotline shame,Virgin America
negative,another delayed flight likingyoulessandless,Virgin America
negative,need register service dog first class ticket sfo gt dulles phone queue hour longer pls advise,Virgin America
positive,rock making watch oscars flight redcarpet oscars oscars,Virgin America
positive,always xoxo,Virgin America
negative,cant book seats flights buy even check creates much anxiety frustrated,Virgin America
negative,youd think paying extra bucks rt luggage might afford hiring extra hand lame,Virgin America
positive,best customer service rep world irmafromdallas takes cake,Virgin America
negative,please provide status flight cant imagine time web indicates dude weather andor dallas,Virgin America
positive,amazing staff amp super helpful ran princesshalf spoiled comfort,Virgin America
negative,paid premium fly across country cancelled flight flight offer check fee upgrade love sad face,Virgin America
negative,question possible book seat infant giving option want seat,Virgin America
positive,always together youre welcome rt youre welcome,Virgin America
positive,flight home dc sunset globe backtowinter back work refreshed,Virgin America
negative,dont understand need dm give answer damaged luggage policy,Virgin America
negative,mean dont policy destroyed luggage,Virgin America
positive,thank checking tickets purchased customer happy,Virgin America
negative,problems flight booking problems web site keeps giving error contact phone phone minute wait,Virgin America
negative,reschedule cancelled flightled flights online change button greyed,Virgin America
negative,rang wait minutes book ticket vendor fix site,Virgin America
negative,got flight told todaychecked email tomorrow unacceptable,Virgin America
negative,flight lga cancelled flighted stuck dallas called reschedule told could get flight today,Virgin America
negative,dont pairings include red wine white offered redwineisbetter,Virgin America
negative,website,Virgin America
negative,site seems little wonked right may want look tried two browsers css,Virgin America
negative,im disappointed agent designated silver status check line closed assist pasengers,Virgin America
negative,normal receive reply central baggage baggageissues smh,Virgin America
negative,logan airport waiting checkin flight checkin desk open,Virgin America
negative,congrats got business ewr sfolax fuck fl sfoewr clincher,Virgin America
negative,applied weeks ago havent heard back im flying week disappointed,Virgin America
positive,thank follow,Virgin America
negative,many apologies r worse airlines dont even respond cudtomers,Virgin America
negative,shame va making people spend money stranded cities airlines landing jfk reimburse,Virgin America
negative,bad say takes days via confirmation email inquired weeks claim weeks,Virgin America
negative,flight bos gt las tomorrow cancelled flightled notification wait times hour rebook another airline,Virgin America
positive,rt youve met match got status another airline upgrade restr,Virgin America
positive,way fly elevate gold,Virgin America
negative,lot apologies thrown customers seevery sad thanks nothing worst airline ever,Virgin America
negative,flight stuff wrong nothing worst flight ever,Virgin America
positive,match americanairlines status cool,Virgin America
negative,trying book flight guys website wont let lose business,Virgin America
negative,suck,Virgin America
positive,thanks,Virgin America
negative,dmd issue persisting,Virgin America
negative,never recd cancelled flightlation notice left w options fly ps driving la red eye mon w kids,Virgin America
negative,trying book flight amp site,Virgin America
negative,flights flying boston tomorrow need home cancelled flightled flight didnt anything,Virgin America
negative,stink flight cancelled flighted psp jfk notification ability rebook disappointed expected better,Virgin America
positive,love guys song dancing high school dance revue,Virgin America
negative,website im trying check,Virgin America
positive,done thank quick response apparently faster sitting hold,Virgin America
positive,cool picture another virginamerica plane wing site,Virgin America
positive,keep great work,Virgin America
positive,goodness people field amazing pressure texas beatstheothers crisis please fly ny,Virgin America
positive,thanks great flight la boston pilots great job landing snow go back la seriously,Virgin America
positive,thanks much awesome support guys rock,Virgin America
negative,seats row dont recline mention website soreback,Virgin America
negative,flight delayed hours la due mechanical problems handle like pros could tossed us free drink,Virgin America
negative,cancelled flight flights today precipitation scared,Virgin America
positive,twitter team guys killed rescheduling asap thank,Virgin America
negative,guys charged reschedule flight cancelled flighted refusing refund whats deal,Virgin America
negative,cant access website safari iphone seems work mac ipad need iphone add passbook,Virgin America
negative,mobile site broken shows headerelevateusernumofpointsavailable number points wont let checkin,Virgin America
negative,really looking forward flight let know rescheduled diehardvirgin,Virgin America
negative,cancelled flight flight vx one sec delayed airport next cancelled flightledgonna email call reschedule,Virgin America
negative,problem link email checkin thanks,Virgin America
negative,change another airline get dc today able land dc cost ugh,Virgin America
negative,looking forward first flight today cancelled flightled along subsequent one,Virgin America
positive,putting great deals pdx las las pdx show love,Virgin America
positive,wish afford fly next friday going back home love everything airline,Virgin America
negative,gon na deal dallas dc deal dc dallas sad,Virgin America
negative,hold times call center bit much,Virgin America
positive,like,Virgin America
negative,site help,Virgin America
positive,best flight attendant ever,Virgin America
positive,awesome rt watch nominated films feet meetthefleet oscars,Virgin America
positive,thanks much,Virgin America
negative,trying reset password email never arrives help,Virgin America
positive,airline based silicon valley disruption fcmostinnovative incubator,Virgin America
positive,nicely done,Virgin America
positive,im looking forward watching oscars flight home tomorrow might even get something bubbly drink,Virgin America
negative,reason delay departure vx jfk afternoon,Virgin America
negative,todays flight palm springs ca jfk ny cancelled flightled,Virgin America
positive,hahaha guys amazing love guys,Virgin America
positive,sounds like fun,Virgin America
negative,css site right please fix site unusable,Virgin America
negative,flight vegas boston today checked online bag count didnt register fix somehow,Virgin America
positive,classiq luv virgin america greetingz,Virgin America
negative,hi im trying checkin website working tried different browsers problem continues,Virgin America
positive,thanks great customer service today amp helping get travel sorted,Virgin America
positive,thanks guys sweet route rockies airplanemodewason,Virgin America
positive,love music blasting gate boston waiting flight sanfrancisco could get iced coffee,Virgin America
negative,passenger flt assaulted shouldnt flown trust hes banned crew filed report,Virgin America
negative,current bug website shows select departure city selecting destination city,Virgin America
negative,luggage severely dentedmissing wheel coming baggage claim san luggage agent miranda think wasnt help,Virgin America
positive,thank easy itinerary shift impending weather quick painless amp free,Virgin America
positive,thanks good times back vodkatonics entire flightsfo,Virgin America
positive,youre great job adding little luxuriesaesthetics improve air travel experience thank keep,Virgin America
negative,requested window seat confirmed window got stuck middle seat good way treat silver member,Virgin America
negative,wtf paid direct flight purpose stop fuel exhausted frequent flier nothing inconvenience,Virgin America
negative,something wrong website safari iphone,Virgin America
positive,thanks gate checking baggage full flight dfwlax giving early boarding sweet,Virgin America
negative,already checked page expired x,Virgin America
negative,boo refunding seat upgrade fee want buy first place,Virgin America
positive,see,Virgin America
positive,inflight team makes experience amazing,Virgin America
positive,cutest salt pepper shaker ever think guys cant get better,Virgin America
negative,moved seat notice better seat cabin select behind row selected disappointed,Virgin America
positive,fav airline,Virgin America
positive,hot female pilot sweet dca sfo,Virgin America
negative,already contacted central baggage amp sent dm charging dress lost suitcase help,Virgin America
positive,thank,Virgin America
negative,anything going website ive getting lot errors past minutes,Virgin America
negative,checked flight sfo lax amp told atlantic flying club gold get benefits,Virgin America
negative,husband ordered three drinks via screen never came awesome,Virgin America
negative,soooo guys going leave seatbelt light flight barely call turbulence,Virgin America
negative,funny story website broken missing javascript stylesheets checkin process dislike,Virgin America
positive,would love virgin like,Virgin America
negative,im trying check ct flight tmm desktop website working sort caching bug sos,Virgin America
negative,guys know checkin links emails broken,Virgin America
positive,loved cant wait mondays return flight mostly watch inflight safety video sorrynotsorry,Virgin America
negative,lost luggage days ago flight vx lax iad amp im calling every day responseplease give back stuff,Virgin America
negative,flight booking problems section website seems broken chrome might wan na look,Virgin America
positive,hi wanted see new routes planned year newark love flying guys hope,Virgin America
positive,mean probably inappropriate board,Virgin America
positive,happy spend day together lets,Virgin America
positive,understanding helped thx comps,Virgin America
positive,thank absolutely,Virgin America
negative,looks like broken link assets,Virgin America
negative,manage itinerary section website seems broken,Virgin America
negative,cant check site looks like every time loads,Virgin America
negative,carriers less half price round trip fare stunned,Virgin America
negative,wtf happening pdx late flight march one way sfo,Virgin America
positive,free drinks flight back free promo,Virgin America
positive,thanks,Virgin America
negative,luggage gone ive filed paperwork promised callemail still resolution response central luggage,Virgin America
positive,thanks,Virgin America
positive,thanks taking care flight rockstars travel,Virgin America
positive,thanks lovely soft views travel san sfo,Virgin America
negative,requested mileage challenge status several weeks ago online havent heard back get help,Virgin America
negative,trying book tickets nyc facing super fun broken styling dont worry ill keep trying,Virgin America
negative,applied status match feb got confirmation email day still news though guys dropped ball late flightly,Virgin America
positive,adore looking forward flight austin two weeks,Virgin America
positive,glad mentioned took first virgin flight years back transformative experience,Virgin America
negative,trying checkinbut looks like site,Virgin America
negative,spending birthday night daldca get home,Virgin America
negative,sent couple messages email provided avail try next year cheers,Virgin America
positive,first time flying virgin went sanfrancisco thanks smooth ride easily new fav airline,Virgin America
negative,seriously though direct flights sfofll may,Virgin America
negative,fine already done purchase try go way go back,Virgin America
negative,really experience hoping ws forced check small carry w nothing empty cabin space board,Virgin America
negative,wjere luggage slow lax,Virgin America
negative,spoke representative offered solution loyal customer flies well,Virgin America
negative,deeply disappointed birthday promo applied trip booked mere days received email,Virgin America
negative,happened direct flights sfofll looking may see connecting help dontdothistome,Virgin America
positive,promoting product problem southwest recommend noneother best,Virgin America
positive,love guys pls get direct routes las aus,Virgin America
positive,course work im obsessed entire virgin family,Virgin America
positive,ok first time flying tonight,Virgin America
negative,embossed badges patches superior ones currently using,Virgin America
negative,vx jfk la dirty plane standards,Virgin America
negative,flight vx headed la jfk dirtiest va plane ever sad great airline,Virgin America
positive,got squared away someone picked soon tweeted tweeted sooner,Virgin America
negative,avis rental continue button doesnt work website book car tried times phone sucks,Virgin America
negative,delayed,Virgin America
negative,currently minute hold cust service need anything add lap child reservation,Virgin America
positive,course fun celebrating thanks happy chinese new year,Virgin America
positive,flight booking problems last second flight next week sfo san chance want gift promo code since love guys,Virgin America
negative,comenity bank joke please change nothing constant problems bank,Virgin America
positive,grandma ellas th would lt bday greeting flight crew stewardess eastern airlines,Virgin America
positive,bought tix atx dallas route thanks adding love yr airline amp yr website best transactional site ever,Virgin America
positive,gave credit late flight flight yesterday great service thats wow moment unexpected gesture,Virgin America
negative,submitted status match request back still havent heard im flying monday look accelerate,Virgin America
positive,safety video loved first cross country flight livewelltraveled sytycd,Virgin America
positive,doesnt look fat looks yummy,Virgin America
positive,omg omg nonstop dallas austin virgin,Virgin America
positive,planes really pretty thought u know,Virgin America
negative,im pulling hair trying book flight u site doesnt work iphone ipaddont computer help,Virgin America
positive,thank,Virgin America
negative,get help support ticket days incident thank,Virgin America
positive,good home texas moodlighting,Virgin America
negative,even open laptop seat c paid premium let,Virgin America
negative,seat c even open laptop paid extra seat,Virgin America
positive,thanks needing way make austin trips dca youve come,Virgin America
positive,cool never ur planes,Virgin America
positive,great well deserved,Virgin America
negative,fyi infocom email address say contact password reset emails doesnt exist emails bounce,Virgin America
negative,status match weeks gone newsflt next week hope flt count towards requirement cust svc help,Virgin America
negative,website sucks donkey dicks thought know best,Virgin America
negative,crap channels pay watch uk tv,Virgin America
positive,got set thanks,Virgin America
positive,giants virgin america match made heaven,Virgin America
positive,thank goodness also see friday nwkgtsf boom,Virgin America
negative,come dont iphone app still using making waste paper,Virgin America
negative,back seat entertainment system accept credit cards apostrophe surname apostrophefail,Virgin America
negative,vx use lga slots instead today adding aus makes less likely,Virgin America
positive,luv ur people product thing u charge herbal tea black tea im caffeine drinker,Virgin America
positive,thank see yall soon im excited see expansion destinations spread wings,Virgin America
negative,sad learn longer fly sfo gt phl hope returns,Virgin America
positive,incredible customer service ive ever experienced refreshing,Virgin America
positive,dreaming really open route dallas austin mean houston might next,Virgin America
positive,omg finally,Virgin America
negative,kinda sucked earphone jack didnt work flight may want look future passengers,Virgin America
negative,poor experience first computer problem seat malfunction stuck missing meeting san diego,Virgin America
positive,thankyou dalaus route makes day,Virgin America
positive,awesome deals dalaus way,Virgin America
positive,love taking backyard consumers win biz competes,Virgin America
positive,flying love austin excellent news,Virgin America
positive,congrats vx new route,Virgin America
negative,tried offered charge additional k new ticket stranded thurs st time last time,Virgin America
negative,never bad experience one took cake extortion carry items well,Virgin America
negative,spend hours worrying items carryon would brokenstolen since couldnt carry plane lock bag,Virgin America
negative,group e told room bins got plane room least bags row,Virgin America
negative,thanks making flight lax jfk nightmare forcing check carry bag gate,Virgin America
negative,lots flights book site working ive phone waiting minutes,Virgin America
positive,flight artisanal cheese wine pairing,Virgin America
positive,thats classy,Virgin America
positive,im sure lot jfklhr flights go lot faster mph strong tailwind,Virgin America
positive,tminus minutes elevate silver upgrade window opens freeneversucks,Virgin America
negative,taking years fly home dallas get shit together,Virgin America
positive,would rough trip luckily virginamerica flight weather,Virgin America
positive,another perfect flight come planes sun visors stay carriers make raise,Virgin America
positive,nice rt man steel might faster wifi saying sciencebehindtheexperience,Virgin America
positive,love dancing little richard cool beans,Virgin America
positive,dont use passbook still love though lt ill use email future,Virgin America
positive,thanks free birthday points yall right,Virgin America
negative,man steel flies cities thoughand frequency,Virgin America
positive,thanks much sharing added site,Virgin America
positive,dad segway best part whole infographic,Virgin America
positive,plans short haul airline europe would defiantly fly guys,Virgin America
positive,wifi better seating,Virgin America
negative,started flight scolding using overhead bin offered person seated next,Virgin America
positive,great return calls day couldnt ask myvxexperience,Virgin America
negative,airlines werent cancelled flighting flights bos helping customers get home virgin saying good luck,Virgin America
negative,grouping virgin others bos weather exposed actual cus serv model never flight booking problems virgin,Virgin America
negative,one travelers affected boston storm im shocked virgins complete apathy toward customers,Virgin America
negative,umm reason someone different contact contact get definitive answer,Virgin America
negative,trying make change advance hours priortried online earlier wanted change fees,Virgin America
positive,loyal im driving nyc pa fly virgin since cut philly flights,Virgin America
positive,guys perfect always lt wervirgin,Virgin America
positive,thanks yall best customer service left industry,Virgin America
positive,really wish youd fly fargo fares amazings,Virgin America
negative,mood lighting point reclining seat kickin feet,Virgin America
negative,flight scheduled pm departure still says time plane gate update long delay,Virgin America
negative,group got cancelled flightlation fees waived cant ticket booked reps help either,Virgin America
positive,got pm newark home la folks ewr incredible letsgohome,Virgin America
positive,flying lax sfo looking awesome movie lineup actually wish long haul,Virgin America
positive,thanks,United
positive,thanks taking care mr happy customer,United
negative,still refund word via dm please resolve issue cancelled flightled flight useless assistants trip,United
negative,delayed due lack crew delayed theres long line deicing still need improve service united,United
positive,thanks filled hows luck common,United
negative,eriord express connections hugely popular could eriewr hop,United
negative,think boarded flight au early think,United
negative,gate agent hooked alternate flights way prevent constant issues would rock,United
positive,thanks,United
positive,thanks ticket,United
negative,worst nonrefundable first class tickets oh select globalfc system auto selects economy wupgrade,United
negative,buy tix days flight cant transfer tix flawed security logic flawed customer service,United
negative,start claim weeks unrealistic really supposed go long car seat childridiculous,United
positive,follow please airline beautifull,United
negative,car seat lost reimburse new one pair shoes necessity child,United
negative,totally sucks cousin worked phl said,United
positive,wanted let know wonderful rosetta gate agent working flight dan ase let know wasappreciated,United
negative,beginning feb called united said would send another voucher mail never got anything tiredofwaiting,United
negative,internet great thing emailing executives company maybe respond timely manner,United
negative,thats weak see ya hey,United
negative,flew back w company since united didnt earlier flight,United
negative,trying book awards september need flights show even w many award seats availab,United
negative,sure drive total hours get bag id like explain debacle one wants talk,United
negative,see told repeatedly pilot late flight kept getting late flightr boarded defibrillator issue,United
negative,preferred security line anymore tsa precheck didnt pull partner flight platinum spoiled,United
negative,newarkliberty airport need indicate different gates terminals aampc flyingainteasy,United
negative,yes please newly married trying update last name preexisting international flight seems easy,United
negative,united refuse reissue lost voucher plane didnt take due mechanics badcustomerservice,United
negative,also run instructed shattered computer,United
negative,yes weve agents last minutes one agents rude thankfully ladan nice,United
negative,iah charlotte baggage claim rep latrice h customerservice non existent ignored customer inappropriately touched customer,United
positive,thanks helpgot need issue guess sit awhile longer,United
negative,would loved respond website saw really long form business new seats bad,United
negative,refund flight vouchers another flight different airline expense today hour drive inconvenient,United
negative,received call back daysits infant car seat supposed go anywhere child,United
negative,well sitting ground time waiting gateagain tiredofthis,United
positive,airport snow removal method keep good work folks cessnas become,United
negative,need guys book planes concern ill travel someone else moving forward,United
negative,measly ecertificate appreciate loyal customers wait hrs tarmac ua unacceptable,United
negative,email addressusername signon available,United
positive,thank able claim interim expenses cost stuff,United
negative,rude rude,United
negative,cant get boarding pass austrian airlines codeshare flight rebook incls hour layover amp stuck outside sec,United
negative,received flights united truly breaks guitars unitedbreaksguitars wantmymoneyback,United
negative,flew telaviv paid third suitcase didnt even make plane besides impolite service,United
negative,bag still colo springs disabled search unfamiliar airport look bag good outcome,United
negative,shame theres flex tickets transfer rules even calling neurosurgery icu isnt enough,United
negative,denver said dont handle baggage made colo springs gave number call help either,United
negative,guys need serious training customer service many better options put way guys handle ur mistakes,United
negative,found problem avoided like plague told cant find supervisor,United
negative,zccu cancelled flight flight h advance need connect flight reschedule link isnt helping help gf waited months see,United
negative,flying,United
negative,addition first flight delayed hour im arriving destination hrs late flight,United
positive,flew united last month experience awesome,United
negative,travel booked thru united group dept okc ticket agent less willing help connection lax,United
negative,v upset disability services told one employees carrying medical equipment rude,United
negative,thnx quick reply dont think assist intl grp put considerable inconvenience today,United
negative,wont transfer flight ticket accompany yr old whos active military mom emergency brain surgery wow,United
negative,weeks late flightr still received miles mileageplus gift card starbucks card handed,United
negative,k im always hoping improvement,United
negative,yet complained guy checked luggage throwing bags around unfortunate coincidence hope,United
negative,okc ticket agent roger mclarrensp less helpful intl group travel problems cant find supervisor help,United
negative,mobile apps need construction ground os category expensive get right,United
negative,another fail united ticket agents okc less helpful could care less problems american come,United
positive,also working wc coach good thing bird landed ahead schedule use wc stat,United
negative,sent email customer care telling may break sincerely hope help,United
negative,silly im flying delta today united club staff attendants surly unhelpful always seem bothered pesky folk,United
negative,phone number cant find call flight reservation,United
negative,well cant fix missing buddies th bday negligence attempt make,United
negative,believe help customer service couldnt like said want number someone fix,United
negative,helped baggage service desk said bc tsa screening fll bags made bag ewr,United
negative,mobile boarding pass disappeared phone standing line board second time week hmm,United
positive,record rozana newark lovely helpful choosekind,United
positive,thx update,United
negative,explain eager flight attendant trying ask vision guide dog,United
negative,whats point asking details servicedog book flight crew doesnt read continued,United
negative,tried one available bogota everyone rude houston stuck hours guys,United
negative,worstunitedflightsever ua las iad mechanical problems took land fix delayed wtfodds,United
positive,despite bag making newark good informative email tracking updates help,United
negative,whats going ua outbound flight last thurs delayed hrs long delay worstunitedflightsever,United
negative,worstunitedflightsever ua iad las mechanical problems switched aircraft delayed hours,United
negative,crashed trying check,United
positive,wow deal plus seats available easy change make customer happy,United
negative,logan boarding gong show due lax carry enforcement bins full coats room bags u need better system,United
negative,blackmailed paying extra return ticket nullified san francisco airport terrible service rep scam,United
negative,disappointed u didnt honor credit given ur mistakes taking business elsewhere,United
negative,ua still waiting supposed depart,United
negative,credit last trip never came mail,United
negative,ok months waiting hear airline gave quite bit days requested terrible service,United
negative,process ever end still waiting reply since months pathetic customerservice,United
negative,whats going website im flight booking problems three tickets today ive booted system umpteen times,United
negative,get account number website says email unavailable,United
negative,received bag last night still missing one,United
negative,youll need upgrade seats even economy plus like sitting concrete bench,United
negative,nd flight also delayed pilots boarded sit scheduling,United
negative,hard stay upset someone least try show remorse,United
negative,way simple apology goes long way even hollow one obvious dont care wellbeing,United
negative,isnt one time thing either shocking pattern repeated neglect disrespect,United
negative,fingers crossed amp intact disappointed experience actually saying enjoyed using,United
negative,incredibly easy fix would rather stay comfort zone get forced mine,United
negative,july zero excuses outofdate system causes problems like,United
negative,everyone around us sitting friends family members booked tickets october december bought,United
negative,sure talking going nonstop flights sna sfo sfo ewr,United
negative,im moving talk service,United
negative,asked legitimate question systemwide vs localized problems got back unrelate flightd copypaste better,United
negative,time call need skis go airport get faith united,United
negative,see guys amazing one company continually makes mistakes yet fails held accountable error,United
negative,yeah sorry theres always problem united international reputation problems,United
negative,maybe would care hear went whoever listens issues caused,United
negative,wonder sharing fb insta would produce number characters really limits story telling,United
negative,youre telling number call left airport negligent pilot staff,United
negative,could email resent doesnt appear arrived,United
negative,follow order dmcome,United
negative,united coupon make broken entertainment system hour flight seriously ridiculousness learncustomerservice,United
negative,didnt drop bag overnight amp im leaving week supposed hold bag,United
negative,dm details still response book today,United
negative,able dm confirmation number,United
negative,ive sent message let know got im twitterliterate also really going stuck hrs,United
negative,unhappy response complaint emailed nd feb ref awful customer service,United
positive,private jet would cool work ill try,United
negative,given option using united travelbank recent flight booking problems help using recouping funds thanks,United
negative,common keep paper work ready dont delay flightsand meetings,United
negative,yep thats correct got email flight cancelled flightled doesnt matter flight atl delayed thx,United
negative,k problem getting fll iah sent dm making connection please let know,United
positive,thanks sent,United
negative,im grounded montreal ua missing connection ua st louis helpdo private jet,United
negative,im frustrated nervous,United
negative,ones make difficult,United
negative,im child im someone issue flying prepares ahead time reduce distress caused planes,United
negative,get cancelled flightled hours take,United
negative,always happens guys makes traveling incredibly stressful uncomfortable good business,United
negative,someone severe anxiety one person help isnt next,United
negative,im seeking go client bc u cant get need refund filled form confident works past indication,United
positive,unrivalled access california flights us uk airports nonstop onestop connections yearround,United
negative,luckily made flights time disappointed lack communication,United
negative,checking see flight atlord got cancelled flighted,United
negative,service far horrid wanted end trip high note guess thats option,United
negative,booked flight home months ago requested seats together fiancée got middle seats unacceptable,United
negative,guys horrible,United
positive,thnx info,United
negative,pay wifi international business ticket pennypincher,United
negative,ok top things youve lost luggage could get worse unitedairlines,United
positive,kudos cancelled flightling flights dfw morning united usually first panic,United
negative,luggage broken youcouldntmakethis brokenwheel,United
negative,maybe one day youll one quoted,United
negative,flight delayedno one remembered turn heat flight leaving ordseriously,United
positive,another awesome new plane flight extremely nice captain steve connolly,United
negative,speak real person get resolved politely efficiently,United
negative,hadnt filed refund claim told charge dm disputed bank hence would like,United
negative,bags make flight iad second day without clothes pretty inconvenient pretty curious unitedairlines,United
positive,every united flight saipan guam adventure never know old plane operational,United
negative,hence ive asking customer service phone number speak real person get sorted,United
negative,bags leave washington yet would convenient seeing left day ago unitedairlines lostluggage,United
negative,according dms im owed refund please may provided contact number go bank file claim,United
negative,hours ago need work bag make hotel time need go elsewhere,United
negative,pls properly train agents requested speak k customer service amp transferred dead end even open hr,United
negative,thanks remembering load bag onto connecting flight oh wait forgot iceland fun clothes,United
positive,thank cheese platter abundance entertainment options time flew,United
negative,customer service atrocious disrupted travel plans lost luggage impossible talk human,United
negative,terminal mia food open esp flights two hours early like recommended cant eat,United
negative,ua flight im currently stuck portland missed ride hour delay getmartyhome,United
negative,responded various requests contact numbers anyone know uk customer service number unitedairlines,United
negative,looking getting bags lusaka,United
negative,could update suitcase please online phone tracking told nothing told id back yesterday,United
positive,thank trying two days set,United
negative,last thing u guys shouldnt charging drinks transatlantic flight,United
negative,lhr arrival lounge fail waited mins shower left find hotel u know many passengers u carry planning,United
negative,completed form doubt use ua doesnt care day vacation sure ua wont feel responsibility,United
positive,definitely compliment really thought bag lost sent another airport end happy customer,United
positive,thanx much followed emailed ticket voucher unitedairlines care,United
positive,definitely trip remember ewrsti second season first seat pays loyal,United
negative,nope told us time go home sleep airport even though assured us would get room,United
negative,back expensive holiday worked year pay ruined want compensation amp original case back,United
negative,thanks united understand would actually like bag back done also wants money,United
negative,frankly worse customer service ever problems happen deal defines company never united,United
negative,still valid flight seems strange delay late flight inbound crew hours plane already,United
negative,thanks lack help canned response k desk,United
negative,bad ua another unforeseeable operational issue return flight,United
negative,pay luggage delivered arrive wait additional days delivery,United
negative,hotels people feel like held hostage someone boarding passes cant leave fail,United
